env_id,control_effort,timeToGoal,stayedInGoal,precisionOnGoal
0,0.0,NaN,0.0,3.346932331282915e-08
1,0.0,NaN,0.0,0.41887903213500977
2,0.0,NaN,0.0,0.8377580046653748
3,0.0,NaN,0.0,1.2566369771957397
4,0.0,NaN,0.0,1.67551589012146
5,0.0,NaN,0.0,2.094395160675049
6,0.0,NaN,0.0,2.5132739543914795
7,0.0,NaN,0.0,2.9321513175964355
8,0.0,NaN,0.0,2.932152509689331
9,0.0,NaN,0.0,2.5132739543914795
10,0.0,NaN,0.0,2.094395160675049
11,0.0,NaN,0.0,1.67551589012146
12,0.0,NaN,0.0,1.2566369771957397
13,0.0,NaN,0.0,0.8377578854560852
14,0.0,NaN,0.0,0.4188789129257202
15,0.0,NaN,0.0,2.045162403874201e-07
16,0.0,NaN,0.0,0.4188790023326874
17,0.0,NaN,0.0,0.590202271938324
18,0.0,NaN,0.0,0.9310665726661682
19,0.0,NaN,0.0,1.3156036138534546
20,0.0,NaN,0.0,1.7145276069641113
21,0.0,NaN,0.0,2.1195380687713623
22,0.0,NaN,0.0,2.5274579524993896
23,0.0,NaN,0.0,2.9367449283599854
24,0.0,NaN,0.0,2.936746120452881
25,0.0,NaN,0.0,2.527458429336548
26,0.0,NaN,0.0,2.119537115097046
27,0.0,NaN,0.0,1.7145273685455322
28,0.0,NaN,0.0,1.3156033754348755
29,0.0,NaN,0.0,0.9310665130615234
30,0.0,NaN,0.0,0.5902020335197449
31,0.0,NaN,0.0,0.4188791513442993
32,0.0,NaN,0.0,0.8377580046653748
33,0.0,NaN,0.0,0.9310665726661682
34,0.0,NaN,0.0,1.1669059991836548
35,0.0,NaN,0.0,1.4782038927078247
36,0.0,NaN,0.0,1.8262356519699097
37,0.0,NaN,0.0,2.1928648948669434
38,0.0,NaN,0.0,2.5692086219787598
39,0.0,NaN,0.0,2.9503190517425537
40,0.0,NaN,0.0,2.950315475463867
41,0.0,NaN,0.0,2.5692083835601807
42,0.0,NaN,0.0,2.192863941192627
43,0.0,NaN,0.0,1.8262354135513306
44,0.0,NaN,0.0,1.4782037734985352
45,0.0,NaN,0.0,1.1669058799743652
46,0.0,NaN,0.0,0.9310662746429443
47,0.0,NaN,0.0,0.83775794506073
48,0.0,NaN,0.0,1.2566367387771606
49,0.0,NaN,0.0,1.3156033754348755
50,0.0,NaN,0.0,1.478203535079956
51,0.0,NaN,0.0,1.7145277261734009
52,0.0,NaN,0.0,1.9975370168685913
53,0.0,NaN,0.0,2.3087098598480225
54,0.0,NaN,0.0,2.636232376098633
55,0.0,NaN,0.0,2.972256898880005
56,0.0,NaN,0.0,2.9722583293914795
57,0.0,NaN,0.0,2.6362314224243164
58,0.0,NaN,0.0,2.3087096214294434
59,0.0,NaN,0.0,1.9975370168685913
60,0.0,NaN,0.0,1.7145277261734009
61,0.0,NaN,0.0,1.478203535079956
62,0.0,NaN,0.0,1.315603494644165
63,0.0,NaN,0.0,1.2566369771957397
64,0.0,NaN,0.0,1.675516128540039
65,0.0,NaN,0.0,1.7145277261734009
66,0.0,NaN,0.0,1.8262360095977783
67,0.0,NaN,0.0,1.9975370168685913
68,0.0,NaN,0.0,2.2131295204162598
69,0.0,NaN,0.0,2.4593050479888916
70,0.0,NaN,0.0,2.7250418663024902
71,0.0,NaN,0.0,3.0015883445739746
72,0.0,NaN,0.0,3.0015933513641357
73,0.0,NaN,0.0,2.7250423431396484
74,0.0,NaN,0.0,2.4593043327331543
75,0.0,NaN,0.0,2.2131295204162598
76,0.0,NaN,0.0,1.9975370168685913
77,0.0,NaN,0.0,1.8262357711791992
78,0.0,NaN,0.0,1.71452796459198
79,0.0,NaN,0.0,1.67551589012146
80,0.0,NaN,0.0,2.094395160675049
81,0.0,NaN,0.0,2.119537830352783
82,0.0,NaN,0.0,2.1928646564483643
83,0.0,NaN,0.0,2.3087096214294434
84,0.0,NaN,0.0,2.4593050479888916
85,0.0,NaN,0.0,2.636230945587158
86,0.0,NaN,0.0,2.8313310146331787
87,0.0,NaN,0.0,3.037013292312622
88,0.0,NaN,0.0,3.037015676498413
89,0.0,NaN,0.0,2.831331968307495
90,0.0,NaN,0.0,2.6362318992614746
91,0.0,NaN,0.0,2.4593043327331543
92,0.0,NaN,0.0,2.3087096214294434
93,0.0,NaN,0.0,2.1928646564483643
94,0.0,NaN,0.0,2.119537830352783
95,0.0,NaN,0.0,2.094395160675049
96,0.0,NaN,0.0,2.5132739543914795
97,0.0,NaN,0.0,2.5274577140808105
98,0.0,NaN,0.0,2.5692083835601807
99,0.0,NaN,0.0,2.6362318992614746
100,0.0,NaN,0.0,2.725041151046753
101,0.0,NaN,0.0,2.8313326835632324
